2026-05-17 21:01:07 [INFO] Logging initialized: E:\TorBox_Manager\TorBox_Manager_Log.txt
2026-05-17 21:01:07 [INFO] TorBox Manager EchoStorm Edition v0.4.0 starting
2026-05-17 21:02:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:02:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:02:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:02:39 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:02:39 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:02:39 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:02:39 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:02:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:03:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:03:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:03:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:03:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:03:11 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:03:12 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:03:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:03:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:03:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:03:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:03:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:03:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:04:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:04:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:04:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:04:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:04:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:04:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:04:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:04:58 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:04:58 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:04:58 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:04:59 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:05:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:05:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:05:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:05:16 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:05:16 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:05:16 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:05:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:05:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:05:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:05:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:05:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:05:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:06:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:06:09 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:06:09 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:06:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:06:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:06:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:06:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:06:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:06:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:06:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:06:45 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:06:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:07:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:07:13 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:07:13 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:07:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:07:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:07:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:07:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:07:39 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:07:39 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:07:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:07:40 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:07:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:08:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:08:13 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:08:13 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:08:18 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:08:18 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:08:19 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:08:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:08:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:08:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:08:46 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:08:46 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:08:46 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:09:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:09:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:09:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:09:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:09:11 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:09:12 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:09:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:09:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:09:40 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:09:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:09:40 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:09:41 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:10:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:10:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:10:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:10:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:10:15 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:10:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:10:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:10:43 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:10:43 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:10:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:10:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:10:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:11:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:11:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:11:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:11:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:11:15 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:11:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:11:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:11:39 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:11:39 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:11:39 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:11:39 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:11:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:12:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:12:09 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:12:09 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:12:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:12:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:12:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:12:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:12:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:12:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:12:48 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:12:48 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:12:49 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:13:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:13:09 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:13:09 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:13:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:13:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:13:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:13:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:13:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:13:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:13:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:13:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:13:46 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:14:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:14:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:14:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:14:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:14:15 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:14:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:14:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:14:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:14:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:14:46 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:14:46 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:14:46 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:15:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:15:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:15:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:15:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:15:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:15:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:15:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:15:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:15:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:15:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:15:45 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:15:48 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:16:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:16:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:16:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:16:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:16:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:16:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:16:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:16:42 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:16:42 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:16:42 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:16:42 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:16:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:17:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:17:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:17:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:17:14 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:17:14 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:17:15 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:17:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:17:44 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:17:44 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:17:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:17:45 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:17:45 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:18:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:18:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:18:11 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:18:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:18:11 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:18:12 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:18:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:18:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:18:40 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:18:40 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:18:40 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:18:41 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:19:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:19:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:19:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:19:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
